的	de
如前所述	rqsu
热气腾腾	rqtt
忍气吞声	rqtu
人情世故	rqug
日全食	rqui
如期实现	rqux
人情债	rqvl
人穷志短	rqvd
热情周到	rqvd
如期完成	rqwi
人弃我取	rqwq
人情味	rqwz
认清现实	rqxu
日清月结	rqyj
热情洋溢	rqyy
燃气灶	rqzk
绕圈子	rqzi
任其自然	rqzr
任人摆布	rrbb
荣辱不惊	rrbj
软板	rrbj
如若不然	rrbr
软材	rrcl
软蛋	rrdj
软垫	rrdm
软缎	rrdr
人人得而诛之	rrdv
日入而息	rrex
软饭	rrfj
如日方升	rrfu
忍辱负重	rrfv
人若犯我	rrfw
软膏	rrgk
软管	rrgr
荣辱观	rrgr
软骨	rrgu
人人喊打	rrhd
软簧	rrhd
忍辱含垢	rrhg
热热乎乎	rrhh
软和	rrho
软化	rrhw
软话	rrhw
软尺	rrii
软床	rrid
软禁	rrjn
软件	rrjm
软键	rrjm
软脚	rrjc
软胶	rrjc
人人皆知	rrjv
仁人君子	rrjz
软弱可欺	rrkq
软了	rrle
软肋	rrlz
软毛	rrmk
软磨	rrmo
软膜	rrmo
软泥	rrni
热热闹闹	rrnn
人人平等	rrpd
软皮	rrpi
软盘	rrpj
人如其名	rrqm
扰人清梦	rrqm
软铅	rrqm
忍辱求全	rrqq
弱肉强食	rrqu
软驱	rrqu
软弱	rrro
软软	rrrr
软糖	rrth
软体	rrti
忍辱偷生	rrtu
软土	rrtu
热热身	rruf
软食	rrui
软式	rrui
冉冉升起	rruq
软水	rruv
容人之量	rrvl
如日中天	rrvt
仁人志士	rrvu
软著	rrvu
认认真真	rrvv
软文	rrwf
让人无法	rrwf
柔若无骨	rrwg
如入无人之境	rrwj
软弱无力	rrwl
软弱无能	rrwn
软卧	rrwo
任人唯亲	rrwq
任人唯贤	rrwx
惹人喜爱	rrxa
让人笑话	rrxh
软席	rrxi
柔韧性	rrxy
软性	rrxy
软弱性	rrxy
荣辱与共	rryg
软硬	rryy
日日夜夜	rryy
软玉	rryu
软语	rryu
如人饮水	rryu
人人有责	rryz
任人宰割	rrzg
软座	rrzo
人人自危	rrzw
融冰	rsby
人算不如天算	rsbs
绒布	rsbu
容错	rsco
容得	rsde
绒的	rsde
荣德	rsde
荣登	rsdg
熔点	rsdm
熔断	rsdr
溶洞	rsds
仁寺洞	rsds
溶度	rsdu
冗繁	rsfj
荣光	rsgd
容光	rsgd
人所共知	rsgv
荣归	rsgv
融合	rshe
溶合	rshe
熔合	rshe
融和	rshe
荣和	rshe
荣获	rsho
融汇	rshv
融会	rshv
融化	rshw
熔化	rshw
溶化	rshw
荣华	rshw
绒花	rshw
蓉城	rsig
榕城	rsig
荣成	rsig
容成	rsig
冗长	rsih
荣昌	rsih
融进	rsjn
溶剂	rsji
容积	rsji
熔剂	rsji
戎机	rsji
熔浆	rsjd
榕江	rsjd
溶胶	rsjc
溶解	rsjx
融解	rsjx
熔解	rsjx
熔接	rsjx
乳酸菌	rsjp
荣军	rsjp
如丧考妣	rskb
绒裤	rsku
荣枯	rsku
热死了	rsle
融了	rsle
荣立	rsli
容量	rsld
熔炼	rslm
容留	rslq
熔炉	rslu
荣禄	rslu
任斯璐	rslu
戎马	rsma
容貌	rsmk
茸毛	rsmk
绒毛	rsmk
绒帽	rsmk
容纳	rsna
容器	rsqi
容情	rsqy
融券	rsqr
融洽	rsqw
容忍	rsrf
荣任	rsrf
容人	rsrf
容让	rsrh
人死如灯灭	rsrm
润色润色	rsrs
融融	rsrs
熔融	rsrs
融入	rsru
荣辱	rsru
溶入	rsru
染色体	rsti
融通	rsts
容身	rsuf
荣升	rsug
溶蚀	rsui
榕树	rsuu
融水	rsuv
溶质	rsvi
容止	rsvi
戎装	rsvd
熔铸	rsvu
冗赘	rsvv
融为	rswz
荣幸	rsxy
溶性	rsxy
荣星	rsxy
溶血	rsxt
融雪	rsxt
容许	rsxu
容下	rsxw
荣耀	rsyk
溶液	rsye
熔冶	rsye
容易	rsyi
绒衣	rsyi
容颜	rsyj
熔岩	rsyj
熔盐	rsyj
荣膺	rsyy
日思夜念	rsyn
蝾螈	rsyr
冗员	rsyr
荣誉	rsyu
冗余	rsyu
溶于	rsyu
融于	rsyu
荣域	rsyu
日思夜想	rsyx
冗杂	rsza
融资	rszi
人头攒动	rtcd
人同此心	rtcx
软体动物	rtdw
忍痛割爱	rtga
人体工程	rtgi
人头马	rtma
如图所示	rtsu
软塌塌	rtta
热腾腾	rttg
人头税	rtuv
入土为安	rtwa
乳癌	ruai
人身安全	ruaq
人生不满百	rubb
乳白	rubl
忍受不了	rubl
人生不如意事十之八九	rubj
入禀	ruby
如冰	ruby
人善被人欺	rubq
如不	rubu
人事部	rubu
入室操戈	rucg
如此	ruci
人声鼎沸	rudf
入党	rudh
入档	rudh
入地	rudi
褥垫	rudm
入点	rudm
蠕动	ruds
入冬	ruds
入洞	ruds
嚅动	ruds
人生地不熟	rudu
入读	rudu
入队	rudv
如对	rudv
肉食动物	rudw
入耳	ruer
如风	rufg
乳峰	rufg
乳房	rufh
惹是非	rufz
如飞	rufz
如非	rufz
妊娠反应	rufy
乳膏	rugk
如皋	rugk
如歌	ruge
乳鸽	ruge
入阁	ruge
人神共愤	rugf
儒艮	rugf
入港	rugh
人身攻击	rugj
如果	rugo
人参果	rugo
入过	rugo
入锅	rugo
入关	rugr
人生观	rugr
入官	rugr
入股	rugu
如故	rugu
入骨	rugu
如归	rugv
入轨	rugv
乳沟	rugb
入彀	rugb
入海	ruhl
如海	ruhl
如何	ruhe
人生何处不相逢	ruhf
入行	ruhh
入怀	ruhy
乳黄	ruhd
入伙	ruho
如火	ruho
入货	ruho
如获	ruho
入户	ruhu
入会	ruhv
如花	ruhw
如画	ruhw
入画	ruhw
乳化	ruhw
热升华	ruhw
如潮	ruik
入超	ruik
入朝	ruik
入城	ruig
汝城	ruig
入场	ruih
如常	ruih
入常	ruih
褥疮	ruid
蠕虫	ruis
如初	ruiu
人事处	ruiu
如今	rujn
如金	rujn
人生几何	rujh
入籍	ruji
乳剂	ruji
人事监察	ruji
入境	rujy
如镜	rujy
入镜	rujy
入京	rujy
人生经历	rujl
乳浆	rujd
儒将	rujd
乳胶	rujc
入窖	rujc
入教	rujc
儒教	rujc
乳交	rujc
如旧	rujq
如酒	rujq
人社局	ruju
人事局	ruju
入局	ruju
如数家珍	rujv
人生价值	rujv
儒家	rujw
如假	rujw
如家	rujw
人生苦短	rukd
入坑	rukg
入库	ruku
入口	rukb
入寇	rukb
乳酪	rulk
如来	rull
入来	rull
入理	ruli
软实力	ruli
入殓	rulm
入联	rulm
入列	rulx
入流	rulq
如流	rulq
人生路不熟	rulu
人生路	rulu
人生路上	rulu
如雷	rulz
儒勒	rulz
乳类	rulz
辱骂	ruma
如麻	ruma
入吗	ruma
人生目标	rumb
入门	rumf
如梦	rumg
入梦	rumg
入盟	rumg
入迷	rumi
乳糜	rumi
乳名	rumy
如命	rumy
辱命	rumy
入眠	rumm
辱没	rumo
入魔	rumo
乳母	rumu
入目	rumu
入暮	rumu
人寿年丰	runf
如能	rung
乳娘	rund
乳牛	runq
入内	runz
热水瓶	rupy
入侵	ruqn
入寝	ruqn
如期	ruqi
热水器	ruqi
如其	ruqi
妊娠期	ruqi
如前	ruqm
入秋	ruqq
入球	ruqq
入圈	ruqr
人身权	ruqr
弱势群体	ruqt
入群	ruqp
人山人海	rurh
如诗如画	rurh
人生若只如初见	rurj
濡染	rurj
人生如寄	rurj
人生如梦	rurm
如若	ruro
人生如棋	rurq
认识认识	ruru
如入	ruru
日上三竿	rusg
如斯	rusi
如丝	rusi
入司	rusi
如梭	ruso
弱水三千	rusq
乳酸	rusr
如上所述	rusu
茹素	rusu
弱水三千只取一瓢饮	rusy
人是铁饭是钢	rutg
乳糖	ruth
如题	ruti
入替	ruti
入托	ruto
入团	rutr
如同	ruts
如图	rutu
入土	rutu
乳突	rutu
乳头	rutb
惹是生非	ruuf
入神	ruuf
如神	ruuf
惹事生非	ruuf
儒生	ruug
人身事故	ruug
入声	ruug
如上	ruuh
让事实说话	ruuh
如实	ruui
入市	ruui
如是	ruui
入世	ruui
入室	ruui
如诗	ruui
入时	ruui
儒士	ruui
如山	ruuj
入山	ruuj
乳山	ruuj
认识世界	ruuj
如数	ruuu
儒术	ruuu
如属	ruuu
溽暑	ruuu
入睡	ruuv
如水	ruuv
入水	ruuv
入手	ruub
肉食者鄙	ruvb
汝州	ruvb
乳罩	ruvk
容身之地	ruvd
人事制度	ruvd
如释重负	ruvf
入账	ruvh
入帐	ruvh
入职	ruvi
乳汁	ruvi
乳脂	ruvi
如织	ruvi
如纸	ruvi
入住	ruvu
忍受住	ruvu
入主	ruvu
入驻	ruvu
如注	ruvu
乳猪	ruvu
入珠	ruvu
入赘	ruvv
人谁无过	ruwg
入网	ruwh
入伍	ruwu
如无	ruwu
如雾	ruwu
入屋	ruwu
入围	ruwz
入微	ruwz
如未	ruwz
如为	ruwz
入闱	ruwz
入味	ruwz
入心	ruxn
如新	ruxn
如心	ruxn
入戏	ruxi
如戏	ruxi
入席	ruxi
如洗	ruxi
如昔	ruxi
乳腺	ruxm
入邪	ruxx
乳臭	ruxq
入选	ruxr
入学	ruxt
儒学	ruxt
如雪	ruxt
如需	ruxu
如许	ruxu
如下	ruxw
入夏	ruxw
柔声细语	ruxy
儒雅	ruya
乳牙	ruya
如因	ruyn
如要	ruyk
乳摇	ruyk
入药	ruyk
汝窑	ruyk
乳液	ruye
入夜	ruye
乳业	ruye
日升月恒	ruyh
汝阳	ruyh
如意	ruyi
如一	ruyi
如以	ruyi
儒医	ruyi
如烟	ruyj
入眼	ruyj
乳燕	ruyj
如燕	ruyj
日晒雨淋	ruyl
如用	ruys
如约	ruyt
如月	ruyt
如玉	ruyu
如遇	ruyu
入狱	ruyu
如与	ruyu
如雨	ruyu
如欲	ruyu
人是衣妆	ruyv
如云	ruyp
乳晕	ruyp
如有	ruyb
乳油	ruyb
入油	ruyb
热水澡	ruzk
褥子	ruzi
软柿子	ruzi
孺子	ruzi
如字	ruzi
入座	ruzo
人生自古谁无死	ruzs
人生在世	ruzu
入组	ruzu
人身自由	ruzy
仁者爱人	rvar
肉中刺	rvci
任重才轻	rvcq
柔中带刚	rvdg
瑞典	rvdm
任重道远	rvdy
任重而道远	rvey
锐化	rvhw
人之常情	rviq
人至察则无徒	rvit
锐减	rvjm
荣智健	rvjm
锐角	rvjc
仁者见仁	rvjr
人之将死	rvjs
人中龙凤	rvlf
锐利	rvli
瑞丽	rvli
热胀冷缩	rvls
锐龙	rvls
瑞龙	rvls
仁者乐山	rvlu
软着陆	rvlu
认知码	rvma
如之奈何	rvnh
锐气	rvqi
锐器	rvqi
瑞奇	rvqi
瑞麒	rvqi
如琢如磨	rvrm
绕指柔	rvrb
瑞士	rvui
瑞兆	rvvk
睿智	rvvi
锐志	rvvi
人中之龙	rvvl
仁者无敌	rvwd
日臻完美	rvwm
日臻完善	rvwu
人证物证	rvwv
瑞星	rvxy
瑞雪	rvxt
锐意	rvyi
睿翼	rvyi
仁至义尽	rvyj
锐眼	rvyj
人争一口气	rvyq
热衷于	rvyu
人为财死	rwcs
人文地理	rwdl
人文关怀	rwgh
人往高处走	rwgz
人无横财不富	rwhf
忍无可忍	rwkr
任务栏	rwlj
人无千日好	rwqh
若无其事	rwqu
人五人六	rwrl
人物志	rwvi
人亡政息	rwvx
人文主义	rwvy
人无完人	rwwr
人无我有	rwwy
人无信不立	rwxl
润物细无声	rwxu
人无远虑	rwyl
人微言轻	rwyq
人外有人	rwyr
融为一体	rwyt
若为自由故	rwzg
绕弯子	rwzi
人心不古	rxbg
人心不足蛇吞象	rxbx
人行道	rxdk
人心浮动	rxfd
热血沸腾	rxft
人小鬼大	rxgd
人心隔肚皮	rxgp
人行横道	rxhd
人心惶惶	rxhh
人心涣散	rxhs
人性化	rxhw
热心肠	rxih
人心莫测	rxmc
人心难测	rxnc
热血男儿	rxne
日行千里	rxql
人心齐泰山移	rxqy
热心人	rxrf
柔心弱骨	rxrg
仁心仁术	rxru
人心思变	rxsb
人心思定	rxsd
人心所归	rxsg
人心丧尽	rxsj
入乡随俗	rxss
人心所向	rxsx
任贤使能	rxun
容膝之地	rxvd
瑞雪兆丰年	rxvn
荣幸之至	rxvv
乳臭未干	rxwg
任性妄为	rxww
人心向背	rxxb
人心险恶	rxxe
人心向善	rxxu
日新月异	rxyy
润笔	rpbi
软硬不吃	rybi
日夜操劳	rycl
日月蹉跎	ryct
仁义道德	rydd
容易得多	rydd
人有旦夕祸福	rydf
绕一大圈	rydq
如鱼得水	rydu
如约而至	ryev
肉眼凡夫	ryff
饶有风趣	ryfq
肉眼凡胎	ryft
润肤	rpfu
润肺	rpfz
日月光华	rygh
如意港	rygh
荣誉感	rygj
人欲横流	ryhl
润滑	rphw
润喉	rphb
荣誉称号	ryih
润肠	rpih
润唇	rpip
日夜兼程	ryji
软硬件	ryjm
锐意进取	ryjq
软硬兼施	ryju
如意吉祥	ryjx
日以继夜	ryjy
仁义君子	ryjz
肉眼可见	rykj
人言可畏	rykw
人要脸树要皮	rylp
如有雷同	rylt
仁义礼智信	rylx
人仰马翻	rymf
闰年	rpnm
日用品	rypn
人以群分	ryqf
日月齐光	ryqg
任意球	ryqq
绕一圈	ryqr
荣誉权	ryqr
忍一忍	ryrf
人与人	ryrf
闰日	rpri
日月如梭	ryrs
若要人不知	ryrv
若有若无	ryrw
若隐若现	ryrx
揉一揉	ryrb
润色	rpse
人有三急	rysj
如意算盘	rysp
若有所思	ryss
日有所思	ryss
若有所失	rysu
若有所悟	rysw
如影随形	rysx
日月同辉	ryth
日益突出	ryti
日月潭	rytj
人妖殊途	ryut
如有神助	ryuv
如蝇逐臭	ryvi
仁义之师	ryvu
儒以文乱法	rywf
日月无光	rywg
容易忘	rywh
如烟往事	rywu
日益完善	rywu
润物	rpwu
软玉温香	rywx
日月星辰	ryxi
容易些	ryxx
饶有兴趣	ryxq
人烟稀少	ryxu
饶有兴致	ryxv
如愿以偿	ryyi
容颜易老	ryyl
闰月	rpyt
日益严重	ryyv
人要衣装	ryyv
人云亦云	ryyy
日益月滋	ryyz
润泽	rpze
日益增长	ryzv
人言啧啧	ryzz
肉包	rbbk
肉饼	rbby
肉搏	rbbo
揉擦	rbca
肉刺	rbci
揉搓	rbco
柔道	rbdk
肉弹	rbdj
肉蛋	rbdj
肉丁	rbdy
人走灯灭	rzdm
肉盾	rbdp
肉贩	rbfj
肉脯	rbfu
肉羹	rbgg
肉感	rbgj
肉干	rbgj
柔光	rbgd
肉桂	rbgv
认祖归宗	rzgz
柔和	rbhe
糅合	rbhe
揉合	rbhe
柔滑	rbhw
柔化	rbhw
如坐春风	rzif
揉成	rbig
柔肠	rbih
肉肠	rbih
肉偿	rbih
人走茶凉	rzil
肉串	rbir
人赃俱获	rzjh
人在江湖	rzjh
肉鸡	rbji
肉酱	rbjd
肉价	rbjw
孺子可教	rzkj
蹂躏	rbln
肉瘤	rblq
肉类	rblz
肉麻	rbma
肉吗	rbma
肉糜	rbmi
肉縻	rbmi
揉面	rbmm
肉末	rbmo
柔美	rbmz
柔媚	rbmz
柔嫩	rbnf
肉嫩	rbnf
揉捻	rbnm
揉捏	rbnx
孺子牛	rznq
肉排	rbpl
肉皮	rbpi
肉片	rbpm
肉票	rbpc
肉铺	rbpu
肉蒲	rbpu
肉禽	rbqn
柔情	rbqy
柔韧	rbrf
日本人	rbrf
如醉如痴	rzri
柔弱	rbro
柔润	rbrp
揉揉	rbrb
柔柔	rbrb
肉肉	rbrb
肉色	rbse
乳白色	rbse
肉丝	rbsi
肉松	rbss
揉碎	rbsv
肉疼	rbtg
肉汤	rbth
肉体	rbti
柔体	rbti
肉摊	rbtj
肉痛	rbts
肉头	rbtb
柔纱	rbua
肉身	rbuf
柔术	rbuu
柔顺	rbup
揉着	rbve
肉质	rbvi
鞣制	rbvi
肉汁	rbvi
如坐针毡	rzvv
人在屋檐下	rzwx
人造卫星	rzwx
柔性	rbxy
肉刑	rbxy
肉香	rbxd
肉馅	rbxm
肉芽	rbya
肉鸭	rbya
肉眼	rbyj
揉眼	rbyj
肉圆	rbyr
肉用	rbys
肉欲	rbyu
日本语	rbyu
日滋月益	rzyy
荣宗耀祖	rzyz
认贼作父	rzzf
肉粽	rbzs
洒遍	sabm
撒播	sabo
萨博	sabo
撒旦	sadj
撒刁	sadc
撒谎	sahd
撒欢	sahr
撒娇	sajc
洒家	sajw
萨迦	sajw
撒开	sakl
撒赖	sall
洒落	salo
萨罗	salo
洒泪	salz
洒满	samj
萨满	samj
撒满	samj
撒尿	sanc
撒泼	sapo
撒气	saqi
飒然	sarj
洒洒	sasa
飒飒	sasa
洒扫	sask
萨斯	sasi
洒脱	sato
撒腿	satv
飒爽	saud
洒水	sauv
撒手	saub
撒种	savs
撒网	sawh
洒向	saxd
撒向	saxd
洒下	saxw
撒下	saxw
洒药	sayk
撒野	saye
洒在	sazl
撒在	sazl
三步并作两步	sbbb
斯巴达	sbda
三班倒	sbdk
斯巴达克	sbdk
搜到	sbdk
死不改悔	sbgh
三不管	sbgr
死不悔改	sbhg
三把火	sbho
搜获	sbho
思不出位	sbiw
所不及	sbji
搜集	sbji
三拜九叩	sbjk
俗不可耐	sbkn
酸不溜丢	sbld
随便了	sble
三百六十行	sblh
酸不拉几	sblj
算不了什么	sblm
算不了	sblc
三百六十五	sblw
死不瞑目	sbmm
随便你	sbni
随便你了	sbnl
三八婆	sbpo
三部曲	sbqu
溯本求源	sbqy
算不算	sbsr
算不上	sbuh
随便说说	sbuu
搜书	sbuu
损兵折将	sbvj
随波逐流	sbvl
四不像	sbxd
素不相识	sbxu
所必须	sbxu
死不旋踵	sbxv
色不异空	sbyk
虽败犹荣	sbyr
散兵游勇	sbyy
腮帮子	sbzi
死不足惜	sbzx
扫把	skba
骚包	skbk
色彩缤纷	scbf
色彩斑斓	scbl
三寸不烂之舌	scbu
扫荡	skdh
骚动	skds
扫毒	skdu
扫赌	skdu
扫过	skgo
扫黄	skhd
骚货	skho
扫货	skho
扫黑	skhz
扫除	skiu
骚臭	skiu
三寸金莲	scjl
骚客	skke
扫了	skle
骚了	skle
扫脸	sklm
骚乱	sklr
扫雷	sklz
扫码	skma
扫盲	skmh
扫描	skmc
扫墓	skmu
扫平	skpy
骚气	skqi
松口气	skqi
臊气	skqi
萨科齐	skqi
扫清	skqy
扫去	skqu
四库全书	skqu
骚扰	skrk
骚人	skrf
嫂嫂	sksk
思考思考	sksk
三从四德	scsd
搔头	sktb
扫射	skue
扫视	skui
三寸之舌	scvu
扫帚	skvb
扫尾	skwz
臊味	skwz
骚味	skwz
扫兴	skxy
似曾相识燕归来	scxl
扫雪	skxt
似曾相识	scxu
瘙痒	skyh
搔痒	skyh
嫂子	skzi
臊子	skzi
腮帮	slbh
腮边	slbm
塑料薄膜	slbm
色胆包天	sdbt
塞北	slbz
随地大小便	sddb
赛道	sldk
塞到	sldk
赛地	sldi
赛迪	sldi
赛点	sldm
赛段	sldr
似懂非懂	sdfd
四大发明	sdfm
斯德哥尔摩	sdgm
赛过	slgo
赛果	slgo
三等功	sdgs
塞给	slgz
腮红	slhs
赛会	slhv
赛后	slhb
撒豆成兵	sdib
赛车	slie
三轮车	slie
塞车	slie
赛程	slig
赛场	slih
塑料厂	slih
扫地出门	sdim
赛出	sliu
塞进	sljn
赛季	slji
四六级	slji
算老几	slji
四大皆空	sdjk
三等奖	sdjd
腮颊	sljw
赛况	slkd
斯大林	sdln
死定了	sdle
随大流	sdlq
随大溜	sdlq
死到临头	sdlt
赛马	slma
赛码	slma
塞满	slmj
四大名著	sdmv
赛跑	slpk
苏东坡	sdpo
赛期	slqi
赛前	slqm
塞钱	slqm
死得其所	sdqs
赛区	slqu
死里求生	slqu
三代人	sdrf
赛艇	slty
死对头	sdtb
塞上	sluh
塞尚	sluh
赛事	slui
苏黎世	slui
速录师	slui
锁定胜局	sduj
算得上是	sduu
死读书	sduu
所得税	sduv
苏打水	sduv
三点水	sduv
赛制	slvi
塑料纸	slvi
所到之处	sdvi
僧多粥少	sdvu
私定终身	sdvu
塞外	slwl
赛文	slwf
腮腺	slxm
私底下	sdxw
塞牙	slya
赛亚	slya
赛扬	slyh
四大洋	sdyh
搔到痒处	sdyi
塞子	slzi
色笔	sebi
色斑	sebj
死而不僵	sebj
色板	sebj
色变	sebm
色而不淫	seby
色彩	secl
色带	sedl
色胆	sedj
色淡	sedj
色调	sedc
色度	sedu
死而复生	sefu
色光	segd
色鬼	segv
死而后已	sehy
色差	seia
塞积	seji
色戒	sejx
色阶	sejx
色界	sejx
色觉	sejt
色块	seky
色拉	sela
色狼	selh
酸儿辣女	seln
色盲	semh
色迷	semi
色魔	semo
色谱	sepu
色情	seqy
色球	seqq
色弱	sero
瑟瑟	sese
涩涩	sese
色色	sese
瑟缩	seso
色素	sesu
色图	setu
色衰	seuy
色值	sevi
涩滞	sevi
色织	sevi
萨尔瓦多	sewd
色温	sewf
色文	sewf
死而无憾	sewh
涩味	sewz
色味	sewz
塞尔维亚	sewy
色心	sexn
色系	sexi
色相	sexd
色香	sexd
色样	seyh
色艺	seyi
色欲	seyu
色域	seyu
色晕	seyp
色诱	seyb
色釉	seyb
色友	seyb
色泽	seze
塞责	seze
四方八面	sfbm
司法部门	sfbm
私房菜	sfcl
随风倒	sfdk
司法独立	sfdl
随风而去	sfeq
随风而逝	sfeu
司法程序	sfix
司法局	sfju
司法解释	sfju
森林	sfln
三番两次	sflc
三房两厅	sflt
三方面	sfmm
随风飘扬	sfpy
私房钱	sfqm
随风潜入夜	sfqy
嫂夫人	sfrf
森然	sfrj
三番四次	sfsc
森森	sfsf
送佛送到西	sfsx
三伏天	sftm
三分天下	sftx
随风转舵	sfvd
司法制度	sfvd
三分之二	sfve
三分钟	sfvs
四分之三	sfvs
三分之一	sfvy
四分之一	sfvy
三番五次	sfwc
四分五裂	sfwl
索菲亚	sfya
索菲娅	sfya
森严	sfyj
三房一厅	sfyt
随风摇曳	sfyy
三个半	sgbj
三观不正	sgbv
三更半夜	sgby
僧道	sgdk
三更灯火五更鸡	sgdj
三国鼎立	sgdl
三个多小时	sgdu
三个多钟	sgdv
三个多月	sgdy
三个方面	sgfm
四个方面	sgfm
损公肥私	sgfs
三个和尚没水吃	sghi
三个臭皮匠	sgij
三观尽毁	sgjh
三跪九叩	sgjk
萨格勒布	sglb
苏格拉底	sgld
苏格兰	sglj
三姑六婆	sglp
僧侣	sglv
三宫六院	sgly
仨瓜俩枣	sglz
僧帽	sgmk
塑钢门	sgmf
三顾茅庐	sgml
僧面	sgmm
四顾茫然	sgmr
僧尼	sgni
送给你	sgni
僧袍	sgpk
算个屁	sgpi
三管齐下	sgqx
僧人	sgrf
三个人	sgrf
四个人	sgrf
死贵死贵	sgsg
僧俗	sgsu
僧徒	sgtu
三更时分	sguf
三国志	sgvi
赛过诸葛亮	sgvl
僧众	sgvs
三个钟	sgvs
三个钟头	sgvt
三纲五常	sgwi
送给我	sgwo
四顾无人	sgwr
三个问题	sgwt
三个星期	sgxq
三个小时	sgxu
死过一次	sgyc
僧衣	sgyi
僧院	sgyr
三个月	sgyt
四个月	sgyt
三国演义	sgyy
三个字	sgzi
四个字	sgzi
死工资	sgzi
桑巴	shba
塞罕坝	shba
丝毫不差	shbi
死活不信	shbx
桑蚕	shcj
扫黄打非	shdf
丧胆	shdj
松花蛋	shdj
死灰复燃	shfr
丧服	shfu
丧父	shfu
丧夫	shfu
死灰槁木	shgm
桑果	shgo
丧尽	shjn
三花聚顶	shjd
松花江	shjd
随行就市	shju
四化建设	shju
丧假	shjw
丧家	shjw
撒哈拉	shla
桑林	shln
丧礼	shli
撒哈拉沙漠	shlm
丧魂落魄	shlp
丧乱	shlr
桑麻	shma
嗓门	shmf
丧命	shmy
丝毫没有	shmy
似乎没有	shmy
桑苗	shmc
丧母	shmu
桑拿	shna
丧偶	shou
丧气	shqi
丧妻	shqi
三魂七魄	shqp
丧权	shqr
四环素	shsu
岁寒三友	shsy
桑田	shtm
死胡同	shts
桑葚	shuf
丧身	shuf
桑椹	shuf
丧生	shug
三好生	shug
死或生	shug
丧失	shui
丧事	shui
似乎是	shui
丧尸	shui
俗话说	shuo
四海升平	shup
桑树	shuu
四海之内皆兄弟	shvd
丧钟	shvs
三皇五帝	shwd
四海为家	shwj
三呼万岁	shws
三好学生	shxu
嗓音	shyn
松鹤延年	shyn
桑叶	shye
四海一家	shyj
丧葬	shzh
嗓子	shzi
桑梓	shzi
丧子	shzi
四百	sibl
肆佰	sibl
私奔	sibf
四本	sibf
撕逼	sibi
四壁	sibi
私弊	sibi
死板	sibj
丝板	sibj
四班	sibj
丝般	sibj
四版	sibj
思辨	sibm
四边	sibm
思辩	sibm
思变	sibm
四处奔走	sibz
四倍	sibz
四层	sicg
似曾	sicg
私藏	sich
四次	sici
思忖	sicp
厮打	sida
四大	sida
思达	sida
斯达	sida
丝带	sidl
四代	sidl
死党	sidh
四挡	sidh
四档	sidh
死敌	sidi
死地	sidi
私邸	sidi
思迪	sidi
私第	sidi
四弟	sidi
死定	sidy
死盯	sidy
私定	sidy
死顶	sidy
四点	sidm
撕掉	sidc
死掉	sidc
四度	sidu
四都	sidu
四川大学	sidx
四分	siff
私分	siff
私愤	siff
四份	siff
祀奉	sifg
四风	sifg
四方	sifh
私房	sifh
私访	sifh
私方	sifh
私服	sifu
伺服	sifu
四伏	sifu
四幅	sifu
搜肠刮肚	sigd
死光	sigd
丝光	sigd
四个	sige
四格	sige
四哥	sige
死个	sige
死过	sigo
四国	sigo
思过	sigo
四果	sigo
四顾	sigu
私股	sigu
思古	sigu
死谷	sigu
死鬼	sigv
思归	sigv
死贵	sigv
丝瓜	sigw
丝毫	sihk
四号	sihk
死耗	sihk
死号	sihk
四海	sihl
四害	sihl
死海	sihl
四合	sihe
四核	sihe
嘶喊	sihj
撕坏	sihy
死活	siho
私货	siho
私活	siho
似火	siho
死火	siho
死缓	sihr
四环	sihr
似乎	sihu
四呼	sihu
四胡	sihu
四户	sihu
丝滑	sihw
四化	sihw
私话	sihw
厮混	sihp
死后	sihb
嘶吼	sihb
嗣后	sihb
思潮	siik
私拆	siil
撕扯	siie
私车	siie
死撑	siig
四成	siig
死城	siig
四川	siir
四重	siis
四处	siiu
私处	siiu
四出	siiu
死出	siiu
思春	siip
丝绸	siib
私仇	siib
丝巾	sijn
死劲	sijn
司机	siji
死机	siji
四季	siji
死寂	siji
伺机	siji
三叉戟	siji
四级	siji
斯基	siji
俟机	siji
死记	siji
四集	siji
四溅	sijm
四键	sijm
四件	sijm
私见	sijm
四建	sijm
四间	sijm
死角	sijc
四角	sijc
嘶叫	sijc
私交	sijc
四郊	sijc
四脚	sijc
私教	sijc
死局	siju
四句	siju
四局	siju
私家	sijw
四家	sijw
撕开	sikl
斯凯	sikl
死磕	sike
似可	sike
私刻	sike
斯科	sike
思科	sike
斯克	sike
四库	siku
私库	siku
司库	siku
四邻	siln
死牢	silk
三叉路口	silk
死老	silk
死缠烂打	sild
三长两短	sild
思量	sild
四两	sild
四辆	sild
死了	sile
私立	sili
私利	sili
肆力	sili
死力	sili
死理	sili
死里	sili
撕烂	silj
司令	sily
死灵	sily
饲料	silc
私聊	silc
私了	silc
丝料	silc
四六	silq
思路	silu
三岔路	silu
死路	silu
四路	silu
丝路	silu
司炉	silu
思虑	silv
四轮	silp
四楼	silb
司马	sima
四码	sima
驷马	sima
死妈	sima
死马	sima
死吗	sima
四门	simf
私密	simi
丝米	simi
斯密	simi
死命	simy
四名	simy
嘶鸣	simy
思明	simy
司命	simy
四面	simm
丝棉	simm
死面	simm
丝绵	simm
寺庙	simc
私募	simu
思慕	simu
四目	simu
思谋	simb
