aba,1=阿爸
xiechanggui,1=血常规
bangnin,1=帮您
xiazi,1=下子
haoji,1=好几
erwo,1=而我
zainali,1=在哪里
benfa,1=本法
weita,1=为她
shitiao,1=十条
yewu,1=也无
yidaodao,1=一道道
jiuyi,1=就已
zuizhongyao,1=最重要
duita,1=对她
wangjile,1=忘记了
lexie,1=了些
youjihui,1=有机会
ertian,1=二天
zhuyidao,1=注意到
zhezhi,1=这只
shengmingzhong,1=生命中
dehao,1=得好
bufang,1=不放
zhishi,1=之事
xiaonvhai,1=小女孩
zhiren,1=之人
shuochulai,1=说出来
henduoshihou,1=很多时候
jiaole,1=叫了
yikai,1=一开
momo,1=嬷嬷
geli,1=个例
shenmedongxi,1=什么东西
butingde,1=不停地
huigei,1=会给
zheyangzuo,1=这样做
jinjinshi,1=仅仅是
buyuanchu,1=不远处
zhishou,1=只手
siren,1=四人
zhiqi,1=之气
jingjingde,1=静静地
liqu,1=里去
laizhao,1=来找
zaiyebu,1=再也不
yudaole,1=遇到了
shenmeshiqing,1=什么事情
yebuyao,1=也不要
huile,1=会了
qingqingde,1=轻轻地
jiuzou,1=就走
shangsuren,1=上诉人
youyigeren,1=有一个人
rangta,1=让它
fenzhi,1=分之
haike,1=还可
jiuyue,1=就越
danyao,1=丹药
yihui,1=一挥
daozuihou,1=到最后
erta,1=而他
yibian,1=一变
shenmedifang,1=什么地方
wangni,1=望你
bujiu,1=不就
shangle,1=伤了
hengaoxing,1=很高兴
jiuxiang,1=就想
daole,1=倒了
zhixuyao,1=只需要
bucunzai,1=不存在
yaozhao,1=要找
yuanni,1=愿你
yikaishi,1=一开始
zhezhongren,1=这种人
buzou,1=不走
dangranshi,1=当然是
shenmeyisi,1=什么意思
momode,1=默默地
biaoxianchu,1=表现出
changshi,1=长时
shenxi,1=深吸
yifazhiguo,1=依法治国
shini,1=使你
huiguo,1=回过
jiubuyao,1=就不要
yiji,1=一击
disanren,1=第三人
dadian,1=大殿
qiuni,1=求你
yourenshuo,1=有人说
qishishi,1=其实是
yijian,1=一见
tianyu,1=天域
laodonghetong,1=劳动合同
renren,1=任人
renmian,1=人面
shishang,1=史上
daolao,1=到老
jiuru,1=就如
sishi,1=似是
aoxue,1=傲雪
keyishuoshi,1=可以说是
bijingshi,1=毕竟是
youai,1=有爱
jiukeyile,1=就可以了
jiugai,1=就该
douyijing,1=都已经
youwen,1=有问
yongyuanbuhui,1=永远不会
lishishang,1=历史上
zhuanguoshen,1=转过身
dezhu,1=得住
nianshi,1=年时
zhiwu,1=之物
huashi,1=华氏
youtian,1=有天
youde,1=由得
tiaolu,1=条路
yixiao,1=一小
jiangwo,1=将我
baoyu,1=宝玉
chuanle,1=穿了
youbiyao,1=有必要
bushiweile,1=不是为了
buzhongyao,1=不重要
laizuo,1=来做
jiushizheyang,1=就是这样
tafang,1=塌房
liaosao,1=聊骚
mengquan,1=懵圈
chaizhao,1=拆招
gengzhongyao,1=更重要
jiuzhongguihu,1=九重鬼虎
jiuzhongguihu,1=玖重鬼虎
dongtaizhongma,1=动态重码
weiai,1=为爱
aiguo,1=爱过
erxia,1=而下
nake,1=那颗
fanle,1=犯了
yijian,1=一剑
jiaodao,1=叫道
zhenyao,1=真要
qingren,1=请人
nadao,1=那道
xuande,1=玄德
chongle,1=冲了
budongde,1=不懂得
daidai,1=呆呆
jianjiande,1=渐渐地
buli,1=不离
yiju,1=一具
shuxia,1=树下
bujuede,1=不觉得
buda,1=不打
tuchu,1=吐出
heyiting,1=合议庭
qiwang,1=齐王
youxiang,1=又想
renyan,1=人眼
zaizheer,1=在这儿
duoshaoqian,1=多少钱
budiao,1=不掉
laizhi,1=来之
wangmou,1=王某
henhende,1=狠狠地
bishangyanjing,1=闭上眼睛
fanzuixianyiren,1=犯罪嫌疑人
baibashi,1=百八十
bufu,1=不负
xiushi,1=修士
kanna,1=看那
jingxialai,1=静下来
deguo,1=得过
jiazai,1=家在
xuyao,1=须要
shuishi,1=水师
zhexieshi,1=这些事
shigu,1=是故
wangwangshi,1=往往是
yidingneng,1=一定能
wangle,1=望了
yousheng,1=有生
yangqi,1=扬起
quezhi,1=却只
yebuguo,1=也不过
yisishi,1=意思是
wodao,1=我倒
shengzhong,1=声中
nandaoshi,1=难道是
jianzhijiushi,1=简直就是
shangyan,1=上眼
liaozhi,1=了之
haijide,1=还记得
qishou,1=起手
jiangta,1=将它
zuoshan,1=座山
bishangyan,1=闭上眼
wenruoshusheng,1=文弱书生
zhongguomeng,1=中国梦
zhequn,1=这群
yezhishi,1=也只是
dayi,1=大一
zhengkaiyan,1=睁开眼
yizhidao,1=一直到
tacai,1=他才
hedao,1=喝道
kezhen,1=可真
henduoshi,1=很多事
changjian,1=长剑
shenshou,1=神兽
douhai,1=都还
dengfangmian,1=等方面
daonin,1=到您
zhigan,1=之感
xinsheng,1=心生
shuiyou,1=谁又
nayi,1=那一
changhui,1=常会
shouzhe,1=受着
daili,1=袋里
shenshende,1=深深地
haosheng,1=好生
heipao,1=黑袍
nine,1=你呢
neiyuan,1=内院
daoshang,1=道上
xiaonanhai,1=小男孩
shengmingli,1=生命里
zhijue,1=只觉
dixiatou,1=低下头
buyu,1=不语
henduoshiqing,1=很多事情
gengrongyi,1=更容易
wuqi,1=雾气
yiwan,1=一晚
bianzou,1=边走
daguo,1=打过
yuxin,1=于心
weida,1=为大
zhangda,1=张大
suanshenme,1=算什么
dayanjing,1=大眼睛
henkaixin,1=很开心
yijiu,1=一九
tawen,1=他问
laiziyu,1=来自于
baoli,1=包里
qiaoqiaode,1=悄悄地
baba,1=巴巴
dadao,1=答道
fusu,1=扶苏
zhongjirenminfayuan,1=中级人民法院
zhene,1=着呢
gongzuozhong,1=工作中
yanjingli,1=眼睛里
yicun,1=一寸
jiuwen,1=就问
caike,1=才可
najian,1=那间
zhangjia,1=张家
rudao,1=入到
shengyou,1=生有
gezhong,1=个中
lintao,1=林涛
zaiwang,1=再往
shouxianyao,1=首先要
shengtaiwenming,1=生态文明
jiubushi,1=就不是
doubuyao,1=都不要
jiuzaizheshi,1=就在这时
dayan,1=大眼
xiangzhao,1=想找
moujia,1=某甲
jisu,1=极速
jiubuneng,1=就不能
wushuci,1=无数次
fuwen,1=符文
ziranhui,1=自然会
bujieyi,1=不介意
zheda,1=浙大
yougeren,1=有个人
qingbuyao,1=请不要
bugan,1=不干
jingjishehui,1=经济社会
liya,1=利亚
youyou,1=幽幽
dage,1=打个
erwu,1=而无
weidafuxing,1=伟大复兴
wuwu,1=呜呜
yinqi,1=阴气
tazhen,1=他真
shangren,1=上人
xiangde,1=想得
shenghuoli,1=生活里
shiqu,1=逝去
keta,1=可他
zhengyin,1=正因
wuliu,1=五六
shijianzhong,1=实践中
xiaowangzi,1=小王子
wangshi,1=王氏
bufu,1=不复
zhuanhuawei,1=转化为
yiwei,1=意为
yinian,1=一念
dongli,1=洞里
gongli,1=宫里
wosi,1=我司
ershu,1=二叔
fashengguo,1=发生过
wuquan,1=物权
beiai,1=被爱
siyi,1=思议
wojian,1=我见
zhehui,1=这会
faquan,1=法权
tutu,1=秃秃
amiluo,1=阿米洛
youxinxin,1=有信心
nengchu,1=能出
shengzi,1=圣子
jiazhen,1=家珍
bujie,1=不接
shenzuo,1=神作
daiwo,1=待我
lingshou,1=灵兽
yidingyou,1=一定有
geli,1=格力
huozi,1=伙子
renmindaibiao,1=人民代表
shuoba,1=说罢
cici,1=次次
gegao,1=个高
andan,1=黯淡
jizai,1=记在
youdaoli,1=有道理
woben,1=我本
biaoxianwei,1=表现为
duosui,1=多岁
zaixiang,1=再想
kude,1=哭得
buxiu,1=不休
shengxia,1=生下
bunenggou,1=不能够
chongdao,1=冲到
momo,1=摸摸
shoufu,1=首辅
zhiling,1=之灵
didi,1=滴滴
tiandi,1=天帝
yidi,1=一地
fangyou,1=方有
zhefangmian,1=这方面
qingqing,1=青青
mayun,1=马云
duoyidian,1=多一点
daoguang,1=道光
aer,1=阿尔
qingyang,1=清扬
gongzhong,1=宫中
jiangni,1=将你
tianqi,1=天启
renheshiqing,1=任何事情
biyehou,1=毕业后
bukuishi,1=不愧是
guangdian,1=光点
jianyu,1=见于
liaodang,1=了当
baiduo,1=百多
ziyi,1=自已
buchengren,1=不承认
shishenmeyang,1=是什么样
danyou,1=但有
yishi,1=疑是
youfeng,1=有风
tianshi,1=天师
ruguoshuo,1=如果说
yezhiyou,1=也只有
zhonghui,1=终会
bote,1=波特
rizili,1=日子里
zheshishenme,1=这是什么
jiezheshuo,1=接着说
douxiang,1=都像
biaodiwu,1=标的物
huanhuande,1=缓缓地
wangcai,1=旺财
xinxia,1=心下
cunzaiyu,1=存在于
zhongdu,1=中都
limou,1=李某
haiyouyixie,1=还有一些
jiudang,1=就当
dazai,1=打在
yiji,1=一季
zhizheng,1=质证
duita,1=对它
caishuo,1=才说
lianhua,1=炼化
erta,1=而她
xinjing,1=心惊
wanhou,1=完后
jiaoshenme,1=叫什么
shaole,1=烧了
meizai,1=没在
erdang,1=而当
jinzhi,1=仅只
ribenren,1=日本人
dabian,1=大变
tandao,1=叹道
dasheng,1=大圣
qingshen,1=情深
meihui,1=没回
guangkan,1=光看
qianyou,1=前有
airen,1=矮人
luosi,1=罗斯
buyun,1=不允
qiqi,1=齐齐
ganma,1=干吗
duonianqian,1=多年前
shenmewenti,1=什么问题
qiyan,1=起眼
keyikanchu,1=可以看出
benyuan,1=本原
sitan,1=斯坦
yanzhi,1=言之
tingwoshuo,1=听我说
tuanzi,1=团子
site,1=斯特
sixia,1=四下
zaizuo,1=再做
mianxiang,1=面相
dixin,1=地心
yidui,1=一队
geita,1=给它
wuda,1=五大
yangyang,1=洋洋
bailong,1=白龙
duoyou,1=多有
kule,1=苦了
taochu,1=逃出
hemin,1=赫敏
shiba,1=是吧
mianmian,1=面面
mozhang,1=魔杖
jiuxiang,1=就象
dingwei,1=定为
naming,1=那名
minshizeren,1=民事责任
binglan,1=冰蓝
jiupa,1=就怕
tajia,1=她家
yueyuan,1=越远
fuzhong,1=府中
banzhu,1=班主
zhuangzai,1=撞在
yitiantian,1=一天天
jingjiti,1=经济体
zhiyuan,1=只愿
buguan,1=不关
nashi,1=那事
yuanzhong,1=院中
paode,1=跑得
zhiyu,1=之于
fengjie,1=凤姐
zhongren,1=中人
faxiang,1=法相
laixiang,1=来想
chufajin,1=处罚金
guozheng,1=国政
juzai,1=聚在
mingyue,1=名曰
haige,1=海格
chiren,1=持人
busheng,1=不生
bide,1=逼得
nvhaier,1=女孩儿
dangherenmin,1=党和人民
quna,1=去拿
yongta,1=用它
kesi,1=克斯
duguo,1=读过
kongdang,1=空荡
huoer,1=活儿
fuzai,1=浮在
laojiahuo,1=老家伙
ershi,1=儿时
chuguo,1=出过
siwei,1=四位
fengli,1=风里
jiji,1=急急
caigang,1=才刚
shuaile,1=甩了
youyi,1=有异
deli,1=德里
meiyouyong,1=没有用
baoquan,1=抱拳
liqiang,1=力强
rujing,1=如镜
zhiming,1=之名
hualuo,1=花落
nianli,1=年里
yizhen,1=一震
ziyi,1=紫衣
qingzhou,1=轻舟
bushi,1=不识
xingfugan,1=幸福感
youjia,1=有家
xinxin,1=欣欣
qianzhang,1=千丈
chengzhu,1=城主
zhida,1=之大
qule,1=娶了
duanshijiannei,1=短时间内
nengjin,1=能进
zhizhi,1=知之
xiangyong,1=相拥
nengxiang,1=能像
mouyitian,1=某一天
renhedongxi,1=任何东西
yeye,1=夜夜
zhongyou,1=终有
zhentian,1=震天
shishu,1=十数
liaole,1=了了
bieyou,1=别有
shoushou,1=瘦瘦
zhetou,1=这头
zhishu,1=之术
fanfan,1=泛泛
diyitiao,1=第一条
lujia,1=陆家
hanyan,1=寒烟
yicha,1=一刹
youbian,1=有变
huole,1=火了
shiyu,1=十余
buyi,1=不移
heyi,1=合议
chidongxi,1=吃东西
daiyu,1=黛玉
yihu,1=一壶
huhu,1=糊糊
jiugou,1=就够
mushi,1=墓室
chudao,1=触到
liuqi,1=六七
suande,1=算得
wuyi,1=无以
shengzi,1=生子
zhiwei,1=之位
maidongxi,1=买东西
oo,1=噢噢
fuzhou,1=符咒
shenshi,1=甚是
qingdian,1=轻点
renxing,1=人形
zhiyinwei,1=只因为
diannei,1=殿内
jidao,1=几道
telangpu,1=特朗普
yizhi,1=一枝
qingtan,1=轻弹
bulao,1=不老
mende,1=们的
huahua,1=花花
zhaoyun,1=赵云
bujia,1=不加
anan,1=安安
jieshi,1=借势
yijie,1=一截
diertiao,1=第二条
jialiren,1=家里人
chengzhi,1=称之
zhaozilong,1=赵子龙
benzhu,1=本主
mougeren,1=某个人
zhizhi,1=直直
dudao,1=读到
tianmafan,1=添麻烦
zhenzi,1=阵子
jiaoxing,1=叫醒
zhunle,1=准了
wangjie,1=王杰
dunfan,1=顿饭
zhizhuo,1=执著
caijin,1=彩金
qingshi,1=青石
changpao,1=长袍
youguang,1=有光
xingweinengli,1=行为能力
bajie,1=八届
meigan,1=没敢
xuputi,1=须菩提
wanyi,1=万亿
zhuile,1=追了
xiaban,1=下半
gongzhu,1=宫主
yuejin,1=越近
daduoshi,1=大多是
danzi,1=单子
ruyu,1=如雨
caijiao,1=才叫
zheyiduan,1=这一段
yuezou,1=越走
haoxiaoxi,1=好消息
xiaogongzhu,1=小公主
zhengyili,1=郑易里
buru,1=不入
tianlei,1=天雷
chuchu,1=楚楚
yusheng,1=雨声
jiuzuo,1=就坐
yixi,1=一袭
ziranren,1=自然人
ciyan,1=此言
jieshang,1=接上
baishan,1=白山
baobao,1=包包
zhengzuo,1=整座
diluo,1=滴落
wuren,1=五人
duili,1=队里
shenghaizi,1=生孩子
zhiyao,1=之遥
xiangsi,1=想死
shuli,1=书里
chenjia,1=陈家
weisheng,1=维生
yidong,1=一栋
xinu,1=喜怒
qingtian,1=擎天
shenmeyuanyin,1=什么原因
ziwei,1=紫薇
qiansan,1=前三
pashenme,1=怕什么
buleyi,1=不乐意
gonggongfuwu,1=公共服务
yushuxin,1=虞书欣
lvtuotuo,1=铝坨坨
fuliao,1=佛了
jige,1=鸡哥
huren,1=虎人
kaibai,1=开摆
guangkeji,1=光刻机
guanjingtai,1=观景台
zhangfen,1=涨粉
diaofen,1=掉粉
yingkang,1=硬扛
xiaohong,1=小红
moran,1=默然
womende,1=我们的
jingjiquanqiuhua,1=经济全球化
butong,1=不痛
guoshi,1=国是
gongying,1=共赢
xiaoer,1=小二
chuci,1=除此
jiushui,1=就睡
zhuangzai,1=装在
fuqi,1=扶起
zaigei,1=在给
dandang,1=但当
zhaodian,1=找点
baoshi,1=保湿
fuyu,1=馥郁
zhuangshang,1=撞上
shana,1=霎那
xinji,1=心肌
lida,1=力大
youhuo,1=有货
libao,1=力保
weisi,1=韦斯
tixian,1=提现
shenxia,1=身下
xiaoguai,1=小怪
baizhi,1=白质
shengde,1=生得
guiwang,1=鬼王
youling,1=有灵
xinli,1=心力
guanxiaquan,1=管辖权
duanshi,1=短时
ershi,1=而使
douwei,1=都未
dade,1=大的
jiwei,1=即为
daowan,1=到晚
jianzhugongcheng,1=建筑工程
bimu,1=闭目
meili,1=没理
jiashang,1=架上
genshei,1=跟谁
youxue,1=有血
zhiwang,1=之王
gengxuyao,1=更需要
zhuli,1=助力
chichi,1=痴痴
tamenlia,1=他们俩
yinzai,1=印在
youqi,1=有气
jiejuefangan,1=解决方案
youli,1=有礼
xiaochu,1=笑出
fanhua,1=繁花
zhedao,1=这倒
bingshi,1=兵士
bijiaoda,1=比较大
dounan,1=都难
tuidao,1=退到
yeyue,1=夜月
chuide,1=吹得
yourang,1=又让
zhangfei,1=张飞
jinshi,1=今世
xile,1=喜乐
gaigefazhan,1=改革发展
shangcesuo,1=上厕所
yangtian,1=仰天
bide,1=彼得
bake,1=巴克
tahai,1=它还
lenglie,1=冷冽
bianyou,1=便又
zhongda,1=中大
shizun,1=世尊
haoqi,1=好气
zhedoushi,1=这都是
gushi,1=古时
erru,1=而入
buguanzenyang,1=不管怎样
bairen,1=百人
xiaoming,1=小明
wudao,1=武道
bushou,1=不收
yizhuang,1=一桩
side,1=死得
shenqi,1=神器
buzhi,1=不支
wuyiyi,1=无意义
youyan,1=有眼
zhaolai,1=招来
shenchu,1=渗出
maishouren,1=买受人
mianqian,1=棉签
shouhuanying,1=受欢迎
congyezhe,1=从业者
mingsheng,1=鸣声
wendao,1=问到
shanben,1=山本
jingfeng,1=劲风
kezhe,1=刻着
dayuan,1=大圆
jiazi,1=家子
gangjin,1=刚进
yueshen,1=越深
lingxing,1=灵性
guanzi,1=罐子
disanzhang,1=第三章
faqi,1=法器
guochang,1=过长
dawu,1=大悟
chenggongzhe,1=成功者
zishi,1=子时
kouli,1=口里
wuzong,1=无踪
erlai,1=二来
gela,1=格拉
zuoda,1=做大
feiqi,1=飞起
shishi,1=师事
jiaohui,1=交汇
yuanzi,1=园子
zhibei,1=之辈
nvtongxue,1=女同学
youbawo,1=有把握
yudi,1=雨滴
xingan,1=心甘
shuiqu,1=睡去
mali,1=玛丽
nahui,1=那会
danni,1=丹妮
cengbei,1=曾被
yezuo,1=也做
xiaoyan,1=笑颜
mozu,1=魔族
shime,1=是么
jianfang,1=间房
wuji,1=无忌
nadui,1=那对
duohua,1=多话
weishi,1=为师
yeying,1=夜莺
juanli,1=圈里
daren,1=达人
jisi,1=祭司
juebuneng,1=绝不能
rushui,1=入水
rener,1=人儿
chuande,1=穿得
fushen,1=俯身
shangke,1=上可
jike,1=几颗
gege,1=格格
jigen,1=几根
youta,1=由他
mangle,1=忙了
jucheng,1=聚成
jinbuhuan,1=金不换
zhekou,1=这口
dabai,1=大白
zhixing,1=之行
youyong,1=又用
wuzhe,1=武者
youhen,1=又很
niluohe,1=尼罗河
weidu,1=维度
yongshi,1=用时
guzi,1=骨子
xingzhengfuyi,1=行政复议
shenmeren,1=什么人
yinyuan,1=因缘
yangming,1=阳明
butan,1=不谈
kelu,1=克鲁
meide,1=没得
zoushi,1=走时
tingren,1=听人
tianqi,1=田七
duia,1=对啊
shenmeqingkuang,1=什么情况
bumian,1=不眠
youzhi,1=有之
zhijian,1=指间
zaiban,1=在办
youren,1=由人
piaofu,1=飘拂
yiding,1=一顶
shouqing,1=手轻
yonglai,1=涌来
ganzhe,1=赶着
jiejie,1=结界
tianyuan,1=天元
dashang,1=搭上
ciqing,1=此情
jinzi,1=金字
fuguo,1=拂过
dachi,1=大吃
guanxidao,1=关系到
guanmucong,1=灌木丛
jianqi,1=见其
gelin,1=格林
hualala,1=哗啦啦
buyu,1=不与
shijie,1=石阶
keji,1=可及
jimi,1=几米
damenkou,1=大门口
jingshen,1=经审
rede,1=惹得
weier,1=威尔
duoduo,1=朵朵
buhe,1=不喝
jizai,1=挤在
yangqi,1=阳气
zhengqu,1=政区
daizhi,1=代之
dengxia,1=灯下
buluan,1=不乱
yusheng,1=语声
huobizhengce,1=货币政策
beipan,1=被判
xinhuo,1=心火
wanmeiyuan,1=万美元
beishui,1=杯水
zhizuo,1=只做
hede,1=喝得
xiaoqing,1=小青
nashou,1=那首
tebieshizai,1=特别是在
shizhi,1=十指
huahua,1=哗哗
xiren,1=袭人
miande,1=面的
dahuang,1=大黄
zuizhuyao,1=最主要
jiaozhu,1=叫住
dengshi,1=登时
rourou,1=柔柔
renyu,1=人鱼
zuodui,1=做对
yueer,1=月儿
bier,1=比尔
fashengbianhua,1=发生变化
wanyan,1=完颜
shiming,1=十名
shaqi,1=煞气
bianzhi,1=便知
dashi,1=大石
zhibuzhu,1=止不住
buchuan,1=不穿
zhidian,1=之巅
bilibili,1=哔哩哔哩
zuichang,1=最常
naba,1=那把
liancheng,1=炼成
tianciliangji,1=天赐良机
nayeshi,1=那也是
youci,1=有次
shijianduan,1=时间段
woxing,1=我行
nvshi,1=女尸
youjian,1=又见
yidao,1=已到
yuzhong,1=域中
dianqi,1=点起
sihou,1=嘶吼
yiqu,1=一去
jiejiao,1=街角
bushen,1=不甚
junyi,1=俊逸
leiku,1=类库
duoer,1=朵儿
yizhi,1=一纸
henhen,1=恨恨
chuanshuozhong,1=传说中
hezhong,1=河中
jiyou,1=极有
qingyang,1=青阳
guile,1=跪了
yigan,1=一干
dongzhong,1=洞中
shengdi,1=生地
zhuren,1=助人
jiechu,1=结出
yangjiang,1=杨绛
haoduoren,1=好多人
xianshi,1=现世
zeyi,1=择一
jiaobian,1=脚边
anzhong,1=案中
huilaojia,1=回老家
migao,1=米高
shehuibaozhang,1=社会保障
jiaoti,1=脚踢
shuzhe,1=数着
fulan,1=弗兰
kafeiguan,1=咖啡馆
xumi,1=须弥
chengzhen,1=成真
paichu,1=拍出
daochu,1=道出
lianji,1=练级
yefeng,1=夜风
guanzhe,1=观者
monian,1=默念
qifen,1=七分
erte,1=尔特
liangfen,1=两分
lide,1=离得
lixian,1=立宪
zhiji,1=之计
shanjiaoxia,1=山脚下
tianlangxing,1=天狼星
jiazhu,1=家主
caigan,1=才敢
paimaihui,1=拍卖会
moshuo,1=莫说
hule,1=糊了
kouhai,1=口嗨
yuanzhong,1=园中
yizhangzhang,1=一张张
dongzhuo,1=董卓
jiaodao,1=交到
daizhu,1=呆住
banji,1=扳机
dangdang,1=当当
qianduan,1=前段
yanshuo,1=言说
zhaozhe,1=罩着
chuanyifu,1=穿衣服
chichi,1=嗤嗤
nake,1=那棵
xingshijuliu,1=刑事拘留
buman,1=不慢
sifajieshi,1=司法解释
guangxian,1=光鲜
guodao,1=过道
fali,1=法理
qianqian,1=千千
xianfa,1=先发
gongsifa,1=公司法
zhaozai,1=罩在
buwanquan,1=不完全
zhiquan,1=治权
qiming,1=其名
benhui,1=本会
guanta,1=管它
xiaoping,1=小平
hasang,1=哈桑
gezi,1=格子
nanda,1=南大
shengwei,1=生为
beibi,1=被逼
xuedao,1=学道
xiucheng,1=修成
xiandi,1=先帝
changdao,1=肠道
qingshan,1=青衫
shouti,1=受体
bajiu,1=把酒
ruxue,1=如雪
daxiong,1=大熊
xili,1=戏里
shenshou,1=身受
sanren,1=散人
jiazai,1=夹在
zhishi,1=之士
dili,1=底里
daoying,1=倒映
shixiao,1=失笑
shuidao,1=睡到
bushi,1=布施
hairen,1=骇人
zhaode,1=照得
weixian,1=为先
bujian,1=不减
budao,1=不倒
anji,1=氨基
didu,1=帝都
xiaoyuan,1=小院
qingjin,1=青筋
suoyoude,1=所有的
zhangyu,1=丈育
jiaran,1=嘉然
ziyan,1=自研
chixi,1=吃席
shekong,1=社恐
aomikerong,1=奥密克戎
huoyanwenzhang,1=火焰纹章
laosun,1=老孙
danjian,1=但见
yanxia,1=烟霞
fusheng,1=浮生
duxing,1=独行
huishou,1=回手
gaodian,1=高点
jihui,1=几回
taobaowang,1=淘宝网
zhongtong,1=中通
dangta,1=当它
xiapu,1=夏普
naqu,1=哪去
pangguanzhe,1=旁观者
wodetian,1=我的天
zhihuo,1=之火
haobukeqi,1=毫不客气
musi,1=姆斯
chixufazhan,1=持续发展
caidao,1=踩到
xuezhong,1=雪中
yuanfen,1=缘份
baochai,1=宝钗
shipinanquan,1=食品安全
pingzheng,1=平正
yijiao,1=衣角
moshen,1=魔神
xuewen,1=学文
caiba,1=才把
bugui,1=不归
longjiang,1=龙江
daming,1=大明
shanda,1=山大
jida,1=击打
peichangjin,1=赔偿金
saidao,1=塞到
sanzai,1=散在
huilu,1=回路
daizhe,1=呆着
chuangkou,1=创口
qidao,1=气道
jinjia,1=金甲
cairang,1=才让
jinghui,1=竟会
jieke,1=节课
fuwusheng,1=服务生
guangqiu,1=光球
jichu,1=几处
tasuo,1=它所
nengdang,1=能当
buxiao,1=不消
beiming,1=北冥
nuyi,1=怒意
tongjing,1=铜镜
dahu,1=大呼
fulanke,1=弗兰克
sucheng,1=诉称
yanmu,1=眼目
jintie,1=紧贴
fasheng,1=发声
diping,1=地平
bishi,1=彼时
yeyu,1=夜雨
shaoyidian,1=少一点
shenrukaizhan,1=深入开展
hunhun,1=昏昏
tongjixue,1=统计学
disheng,1=笛声
wangqiang,1=王强
tingqian,1=庭前
jinyuan,1=金源
dashu,1=大数
yishou,1=异兽
gaixiang,1=该项
dahan,1=大汗
yongzhi,1=用之
shiya,1=是呀
bujing,1=不敬
ganshi,1=干尸
yisi,1=已死
doudou,1=痘痘
zhiai,1=只爱
zhitu,1=之徒
jiling,1=激灵
wuju,1=无惧
shici,1=十次
hetang,1=荷塘
jianshi,1=剑士
tangshang,1=堂上
dushuren,1=读书人
xiaohei,1=小黑
shushi,1=术士
yingshang,1=迎上
haoshuohua,1=好说话
chibo,1=吃播
zhizai,1=志在
baibai,1=摆摆
dashi,1=打湿
qudao,1=取到
baishi,1=白石
xinxijishu,1=信息技术
ganggangkaishi,1=刚刚开始
yaoshang,1=腰上
leyixia,1=了一下
sifajianding,1=司法鉴定
zheyangde,1=这样的
jiaochu,1=叫出
zhongdu,1=中度
maliya,1=玛利亚
yuese,1=约瑟
huazhong,1=画中
leide,1=雷德
kedang,1=可当
hufupin,1=护肤品
wuyeguanli,1=物业管理
busha,1=不杀
shiyi,1=实意
dilei,1=滴泪
anxiang,1=暗香
daidao,1=逮到
xinshi,1=心室
wenzhi,1=闻之
buhui,1=不悔
henduodongxi,1=很多东西
duozai,1=多在
jiju,1=极具
sixiangzhengzhi,1=思想政治
suosheng,1=所生
qianzai,1=千载
buzudao,1=不足道
daqun,1=大群
zigu,1=自顾
shiwei,1=十位
quelian,1=却连
youxi,1=有喜
shandian,1=山巅
dalian,1=打脸
xiaoma,1=小马
cengjingyongyou,1=曾经拥有
shanshi,1=山石
erwei,1=二维
jiandi,1=见底
jiqiao,1=讥诮
geer,1=格尔
yiziyiju,1=一字一句
shimisi,1=史密斯
liaodao,1=聊到
zhenni,1=珍妮
sannong,1=三农
suozai,1=锁在
jishi,1=即逝
hule,1=和了
baobao,1=抱抱
sizhi,1=四只
bula,1=不落
laodongxi,1=老东西
nike,1=尼克
banni,1=伴你
yufu,1=渔夫
jinyi,1=锦衣
yechang,1=也常
jingxin,1=静心
sanke,1=三颗
diaoyanlei,1=掉眼泪
lingjing,1=灵境
jiaozhi,1=角质
xuantian,1=玄天
weishan,1=为善
zhangjuzheng,1=张居正
zhikuai,1=之快
yizhayan,1=一眨眼
boluo,1=波罗
zhishen,1=之身
hairang,1=还让
zhende,1=真得
weishi,1=威势
zhisheng,1=直升
jiandujiancha,1=监督检查
yetai,1=业态
wocao,1=我操
jianshi,1=监事
gujia,1=顾家
yili,1=义理
tagei,1=他给
xiangguanguiding,1=相关规定
chengshi,1=成事
tianjia,1=田家
shuli,1=疏离
xiongsha,1=凶煞
chudui,1=出对
qingbian,1=情变
shenpi,1=身披
baici,1=百次
zhicheng,1=织成
liuge,1=留个
zaifa,1=再发
jiben,1=几本
sanban,1=三班
jingqi,1=精气
shengzhi,1=升职
xishang,1=席上
xiaoxian,1=小仙
hujian,1=忽见
faduanxin,1=发短信
duogei,1=多给
biranyaoqiu,1=必然要求
luofei,1=罗非
sange,1=三哥
mingli,1=命里
zhuomo,1=着墨
zhongyaosixiang,1=重要思想
youguanfalv,1=有关法律
juedou,1=角斗
qiangxiang,1=枪响
yuanshao,1=袁绍
diyiju,1=第一句
moshang,1=陌上
zida,1=自打
yongbao,1=永葆
bolichuang,1=玻璃窗
yiju,1=一局
yizhen,1=一针
zhuangde,1=装得
yeban,1=夜半
yingzai,1=映在
shouhao,1=收好
gaochu,1=搞出
hehe,1=赫赫
zaiting,1=再听
xingxing,1=悻悻
chizi,1=池子
yixi,1=一系
xinyi,1=新衣
bijian,1=笔尖
yidingdian,1=一丁点
duojia,1=多加
shangwan,1=上完
jida,1=几大
eryi,1=二姨
xiaxia,1=下下
xiuxiu,1=秀秀
shenxiang,1=伸向
neifenmi,1=内分泌
zhishui,1=之水
lisha,1=丽莎
